             "Alabama"  "07.11.2000"       "Bush"       "Gore"  51.6
  1439464  57.5  41.4  16.1  38.8
             "Alabama"  "02.11.2004"       "Bush"      "Kerry"  57.2
  1277489  68.5  36.8  31.7  86.0
             "Alabama"  "04.11.2008"     "McCain"      "Obama"  60.8
  1216511  68.2  38.7  29.4  75.9
             "Alabama"  "06.11.2012"     "Romney"      "Obama"  58.9
  1307105  67.1  38.4  28.7  74.8
             "Alabama"  "08.11.2016"      "Trump"    "Clinton"  59.0
  1333934  70.3  34.4  35.9  104.6
              "Alaska"  "07.11.2000"       "Bush"       "Gore"  68.1
 116786.6  81.0  27.7  53.3  192.7
              "Alaska"  "02.11.2004"       "Bush"      "Kerry"  69.1
   121441  81.2  35.5  45.7  128.5
              "Alaska"  "04.11.2008"     "McCain"      "Obama"  68.0
 134054.8  74.9  37.9  37.0  97.6
              "Alaska"  "06.11.2012"     "Romney"      "Obama"  58.9
 188898.6  58.9  40.8  18.1  44.4
              "Alaska"  "08.11.2016"      "Trump"    "Clinton"  61.3
 180446.1  56.9  36.6  20.4  55.7
             "Arizona"  "07.11.2000"       "Bush"       "Gore"  45.6
  1691377  50.7  44.7   6.0  13.4
             "Arizona"  "02.11.2004"       "Bush"      "Kerry"  54.1
  1555788  56.4  44.4  12.0  27.1
             "Arizona"  "04.11.2008"     "McCain"      "Obama"  56.7
  1590757  55.5  45.1  10.4  23.1
             "Arizona"  "06.11.2012"     "Romney"      "Obama"  52.9
  1879114  54.5  44.4  10.1  22.6
             "Arizona"  "08.11.2016"      "Trump"    "Clinton"  55.0
  1940283  48.7  44.6   4.1   9.2
            "Arkansas"  "07.11.2000"       "Bush"       "Gore"  47.9
 927141.6  51.3  45.9   5.4  11.8
            "Arkansas"  "02.11.2004"       "Bush"      "Kerry"  53.6
 835494.7  55.6  44.5  11.0  24.8
            "Arkansas"  "04.11.2008"     "McCain"      "Obama"  52.5
 902083.5  60.7  38.9  21.9  56.3
            "Arkansas"  "06.11.2012"     "Romney"      "Obama"  50.5
 962533.3  61.9  36.9  25.0  67.8
            "Arkansas"  "08.11.2016"      "Trump"    "Clinton"  52.8
 926232.2  63.5  33.7  29.9  88.8
          "California"  "07.11.2000"       "Gore"       "Bush"  55.7
  7931999  55.7  41.7  14.1  33.7
          "California"  "02.11.2004"      "Kerry"       "Bush"  58.8
  7865380  57.2  44.4  12.8  28.9
          "California"  "04.11.2008"      "Obama"     "McCain"  60.9
  7809144  69.9  37.0  32.9  89.1
          "California"  "06.11.2012"      "Obama"     "Romney"  55.2
  9636720  64.3  37.1  27.2  73.3
          "California"  "08.11.2016"    "Clinton"      "Trump"  56.7
  9835116  68.4  31.6  36.8  116.3
            "Colorado"  "07.11.2000"       "Bush"       "Gore"  57.5
  1163895  52.8  42.4  10.4  24.6
            "Colorado"  "02.11.2004"       "Bush"      "Kerry"  66.7
 935311.1  54.7  47.0   7.7  16.3
            "Colorado"  "04.11.2008"      "Obama"     "McCain"  71.0
 846279.6  61.9  44.7  17.2  38.4
