       "BB"  "14.10.1990"            "SPD"        "CDU"  65.1   603280.9
47.2  29.4  17.8  60.7       "(3) unlikely"
       "BB"  "11.09.1994"            "SPD"        "CDU"  55.4   784313.8
69.0  18.7  50.3  268.8  "(2) very unlikely"
       "BB"  "05.09.1999"            "SPD"        "CDU"  53.6   872200.6
45.4  26.5  18.8  71.0       "(3) unlikely"
       "BB"  "19.09.2004"            "SPD"        "PDS"  55.2   863550.2
34.4  28.0   6.4  23.0       "(4) possible"
       "BB"  "27.09.2009"            "SPD"      "Linke"  65.3   652580.8
39.8  27.2  12.7  46.6       "(3) unlikely"
       "BB"  "14.09.2014"            "SPD"        "CDU"  47.1    1023378
35.4  23.0  12.4  54.1       "(3) unlikely"
       "BE"  "03.12.1950"            "SPD"        "CDU"  88.0   133182.2
175.4  24.7  150.8  611.5      "(1)impossible"
       "BE"  "05.12.1954"            "SPD"        "CDU"  90.6   91207.16
184.6  30.4  154.2  506.9      "(1)impossible"
       "BE"  "07.12.1958"            "SPD"        "CDU"  92.0   71020.32
229.8  37.7  192.1  509.9      "(1)impossible"
       "BE"  "17.02.1963"            "SPD"        "CDU"  88.9   123677.5
268.7  28.8  239.9  831.7      "(1)impossible"
       "BE"  "12.03.1967"            "SPD"        "CDU"  84.9   190653.6
145.2  32.9  112.3  341.3      "(1)impossible"
       "BE"  "14.03.1971"            "SPD"        "CDU"  87.7   137846.4
115.6  38.2  77.4  202.6      "(1)impossible"
       "BE"  "02.03.1975"            "CDU"        "SPD"  87.1     141205
50.7  42.6   8.1  19.1       "(4) possible"
       "BE"  "18.03.1979"            "CDU"        "SPD"  83.8   187782.9
50.3  42.7   7.6  17.8       "(4) possible"
       "BE"  "10.05.1981"            "CDU"        "SPD"  83.3   191890.3
79.4  38.3  41.0  107.0  "(2) very unlikely"
       "BE"  "10.03.1985"            "CDU"        "SPD"  82.6     201981
92.1  32.4  59.7  184.5  "(2) very unlikely"
       "BE"  "29.01.1989"            "CDU"        "SPD"  78.3   270883.2
38.7  37.3   1.4   3.8  "(5) well possible"
       "BE"  "02.12.1990"            "CDU"        "SPD"  80.0   404372.9
68.2  30.4  37.8  124.3  "(2) very unlikely"
       "BE"  "22.10.1995"            "CDU"        "SPD"  67.3   711359.6
54.7  23.6  31.2  132.4  "(2) very unlikely"
       "BE"  "10.10.1999"            "CDU"        "SPD"  64.8   754337.3
59.4  22.4  37.1  165.7  "(2) very unlikely"
       "BE"  "21.10.2001"            "SPD"        "CDU"  67.1   697533.1
37.9  23.8  14.2  59.7       "(3) unlikely"
       "BE"  "17.09.2006"            "SPD"        "CDU"  56.8   951105.8
38.0  21.3  16.6  77.8       "(3) unlikely"
       "BE"  "18.09.2011"            "SPD"        "CDU"  59.1   910901.9
32.7  23.4   9.4  40.2       "(4) possible"
       "BW"  "09.03.1952"            "CDU"        "SPD"  62.3    1476012
43.2  28.0  15.1  54.1       "(3) unlikely"
       "BW"  "04.03.1956"            "CDU"        "SPD"  68.9    1282685
59.4  28.9  30.5  105.8  "(2) very unlikely"
       "BW"  "15.05.1960"            "CDU"        "SPD"  57.4    1982737
41.7  35.3   6.4  18.2       "(4) possible"
       "BW"  "26.04.1964"            "CDU"        "SPD"  66.2    1632261
53.8  37.3  16.4  44.1       "(3) unlikely"
       "BW"  "28.04.1968"            "CDU"        "SPD"  69.2    1503105
62.7  29.0  33.8  116.6  "(2) very unlikely"
       "BW"  "23.04.1972"            "CDU"        "SPD"  79.2    1008141
85.0  37.6  47.5  126.4  "(2) very unlikely"
       "BW"  "04.04.1976"            "CDU"        "SPD"  74.5    1312279
89.7  33.3  56.5  169.6  "(2) very unlikely"
